Codigo_Unico,Categoria,Sub_Categoria,Senioridade,modelo,Categoria_Candidaturas,Habilidade,Mencionada
1fff3c8c-7469-40bd-b3d0-ffc738025c02,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,PRESENCIAL,0 Candidaturas,SCRUM,1
593ffe0f-84c6-4bb0-868e-6953ae1315f4,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,OUTRO,Até 25 Candidaturas,SCRUM,1
a57c562a-699d-4dc7-bef9-179a434c127f,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
1272dae5-7359-43b4-987e-7fe21a552d86,DESENVOLVIMENTO,DESENVOLVIMENTO FULL STACK,NÃO INFORMADO,REMOTO,Até 25 Candidaturas,SCRUM,1
d646424a-be4a-471d-ae11-37f5a55bb813,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,OUTRO,Até 25 Candidaturas,SCRUM,1
1d7fbfe5-12f4-41c8-bbbd-113735a728d5,DESENVOLVIMENTO,DESENVOLVIMENTO FULL STACK,NÃO INFORMADO,OUTRO,0 Candidaturas,SCRUM,1
7142bb1c-730d-4895-b04a-b49ab0d5a638,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,OUTRO,Até 25 Candidaturas,SCRUM,1
064c095b-e76e-4408-bfba-fa7622e4a267,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,PRESENCIAL,0 Candidaturas,SCRUM,1
cfea206e-c231-4d60-af4d-c16443878011,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,PLENO-SÊNIOR,OUTRO,Entre 101 e 200 Candidaturas,SCRUM,1
2f3795c2-089a-452e-9dff-e3c5a2f1024c,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,REMOTO,Até 25 Candidaturas,SCRUM,1
b3c54844-cfcf-4524-98b9-59374605d324,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,HÍBRIDO,Até 25 Candidaturas,SCRUM,1
e7e7cd56-37ba-4a6f-844a-34b0fdd57d08,DESENVOLVIMENTO,OUTROS DESENVOLVIMENTO,ASSISTENTE,OUTRO,Até 25 Candidaturas,SCRUM,1
ae9330af-b089-4f19-abbe-c1f3da3182ac,DESENVOLVIMENTO,DESENVOLVIMENTO FRONTEND,ASSISTENTE,REMOTO,Até 25 Candidaturas,SCRUM,1
2940accb-2f87-4ee2-9370-3a28ade539e3,DESENVOLVIMENTO,DESENVOLVIMENTO FRONTEND,PLENO-SÊNIOR,PRESENCIAL,Até 25 Candidaturas,SCRUM,1
